ref,amount,currency,route,link
Mission payout for: LinkedIn Professional Outreach,425,USD,PayPal,
Mission payout for: Affiliate Marketing Campaign Q4,875.5,USD,PayPal,
Mission payout for: RealWorldCerts December Sales Push,1250,USD,PayPal,
Mission payout for: November LinkedIn B2B Outreach,1620,USD,PayPal,
Mission payout for: Black Friday Campaign 2024,3875.5,USD,PayPal,
Mission payout for: September YouTube Content Series,1755,USD,PayPal,
Mission payout for: Q3 End Affiliate Blast,1340.5,USD,PayPal,
Mission payout for: December RealWorldCerts Sales Blitz,2450,USD,PayPal,
Mission payout for: October Certification Month Push,2890,USD,PayPal,
Mission payout for: 2025 New Year Kickoff Campaign,1950,USD,PayPal,
